sample_id,text,model,true_specialist,predicted_specialist,specialist_confidence,true_severity,predicted_severity,severity_confidence,language,token_length
0::v0::b53e2cca,"SUBJECTIVE:,  This 23-year-old white female presents with complaint of allergies.  She used to have allergies when she lived in Seattle but she thinks they are worse here.  In the past, she has tried Claritin, and Zyrtec.  Both worked for short time but then seemed to lose effectiveness.  She has used Allegra also.  She used that last summer and she began using it again two weeks ago.  It does not appear to be working very well.  She has used over-the-counter sprays but no prescription nasal sprays.  She does have asthma but doest not require daily medication for this and does not think it is flaring up.,MEDICATIONS: , Her only medication currently is Ortho Tri-Cyclen and the Allegra.,ALLERGIES: , She has no known medicine allergies.,OBJECTIVE:,Vitals:  Weight was 130 pounds and blood pressure 124/78.,HEENT:  Her throat was mildly erythematous without exudate.  Nasal mucosa was erythematous and swollen.  Only clear drainage was seen.  TMs were clear.,Neck:  Supple without adenopathy.,Lungs:  Clear.,ASSESSMENT:,  Allergic rhinitis.,PLAN:,1.  She will try Zyrtec instead of Allegra again.  Another option will be to use loratadine.  She does not think she has prescription coverage so that might be cheaper.,2.  Samples of Nasonex two sprays in each nostril given for three weeks.  A prescription was written as well.",xlm_roberta_large,ENT_OPHTHALMO,GI,0.14382602274417877,S4,S2,0.24732360243797302,Hinglish,204
0::v1::2509c5fc,"Mera bhut darad hoo rha he, Mujhe allergies ki shikayat hy.",xlm_roberta_large,ENT_OPHTHALMO,GI,0.14785555005073547,S4,S2,0.24815671145915985,Hinglish,11
0::v2::dedbb0fe,"Mujhe tabiyat ki shikayat hy, Mujhe allergies ki shikayat he.",xlm_roberta_large,ENT_OPHTHALMO,GI,0.14759862422943115,S4,S2,0.24336490035057068,Hinglish,10
0::v3::f59882f9,"Ye dard bohot jyada hai kal subah se, Mujhe allergies ki shikayat hai.",xlm_roberta_large,ENT_OPHTHALMO,GI,0.14345811307430267,S4,S2,0.24580664932727814,Hinglish,13
1::v0::032ce9ff,"PAST MEDICAL HISTORY:, He has difficulty climbing stairs, difficulty with airline seats, tying shoes, used to public seating, and lifting objects off the floor.  He exercises three times a week at home and does cardio.  He has difficulty walking two blocks or five flights of stairs.  Difficulty with snoring.  He has muscle and joint pains including knee pain, back pain, foot and ankle pain, and swelling.  He has gastroesophageal reflux disease.,PAST SURGICAL HISTORY:, Includes reconstructive surgery on his right hand 13 years ago.  ,SOCIAL HISTORY:, He is currently single.  He has about ten drinks a year.  He had smoked significantly up until several months ago.  He now smokes less than three cigarettes a day.,FAMILY HISTORY:, Heart disease in both grandfathers, grandmother with stroke, and a grandmother with diabetes.  Denies obesity and hypertension in other family members.,CURRENT MEDICATIONS:, None.,ALLERGIES:,  He is allergic to Penicillin.,MISCELLANEOUS/EATING HISTORY:, He has been going to support groups for seven months with Lynn Holmberg in Greenwich and he is from Eastchester, New York and he feels that we are the appropriate program.  He had a poor experience with the Greenwich program.  Eating history, he is not an emotional eater.  Does not like sweets.  He likes big portions and carbohydrates.  He likes chicken and not steak.  He currently weighs 312 pounds.  Ideal body weight would be 170 pounds.  He is 142 pounds overweight.  If ,he lost 60% of his excess body weight that would be 84 pounds and he should weigh about 228.,REVIEW OF SYSTEMS: ,Negative for head, neck, heart, lungs, GI, GU, orthopedic, and skin.  Specifically denies chest pain, heart attack, coronary artery disease, congestive heart failure, arrhythmia, atrial fibrillation, pacemaker, high cholesterol, pulmonary embolism, high blood pressure, CVA, venous insufficiency, thrombophlebitis, asthma, shortness of breath, COPD, emphysema, sleep apnea, diabetes, leg and foot swelling, osteoarthritis, rheumatoid arthritis, hiatal hernia, peptic ulcer disease, gallstones, infected gallbladder, pancreatitis, fatty liver, hepatitis, hemorrhoids, rectal bleeding, polyps, incontinence of stool, urinary stress incontinence, or cancer.  Denies cellulitis, pseudotumor cerebri, meningitis, or encephalitis.,PHYSICAL EXAMINATION:, He is alert and oriented x 3.  Cranial nerves II-XII are intact.  Afebrile.  Vital Signs are stable.",xlm_roberta_large,GI,GI,0.14298374950885773,S4,S2,0.2408265769481659,Hinglish,350
1::v1::a17565bb,"Mera bohot dard hoo raha hai, Mujhe PAST MEDICAL HISTORY:, He has difficulty climbing stairs, difficulty with airline seats, tying shoes, used to public seating, and lifting objects off the floor.",xlm_roberta_large,GI,GI,0.143788680434227,S4,S2,0.24092631042003632,Hinglish,31
1::v2::a7e2023a,"Mujhe tabiyyat ki shikayat hai, Mujhe PAST MEDICAL HISTORY:, He has difficulty climbing stairs, difficulty with airline seats, tying shoes, used to public seating, and lifting objects off the floor.",xlm_roberta_large,GI,GI,0.1423766016960144,S4,S2,0.23921595513820648,Hinglish,30
1::v3::5037a827,"Yeh darad bohot zyada hain kal subha se, Mujhe PAST MEDICAL HISTORY:, He has difficulty climbing stairs, difficulty with airline seats, tying shoes, used to public seating, and lifting objects off the floor.",xlm_roberta_large,GI,GI,0.14286154508590698,S4,S2,0.24066606163978577,Hinglish,33
13::v0::1e506cd8,"PAST MEDICAL HISTORY:,  Significant for hypertension.  The patient takes hydrochlorothiazide for this.  She also suffers from high cholesterol and takes Crestor.  She also has dry eyes and uses Restasis for this.  She denies liver disease, kidney disease, cirrhosis, hepatitis, diabetes mellitus, thyroid disease, bleeding disorders, prior DVT, HIV and gout.  She also denies cardiac disease and prior history of cancer.,PAST SURGICAL HISTORY: , Significant for tubal ligation in 1993.  She had a hysterectomy done in 2000 and a gallbladder resection done in 2002.,MEDICATIONS: , Crestor 20 mg p.o. daily, hydrochlorothiazide 20 mg p.o. daily, Veramist spray 27.5 mcg daily, Restasis twice a day and ibuprofen two to three times a day.,ALLERGIES TO MEDICATIONS: , Bactrim which causes a rash.  The patient denies latex allergy.,SOCIAL HISTORY: , The patient is a life long nonsmoker.  She only drinks socially one to two drinks a month.  She is employed as a manager at the New York department of taxation.  She is married with four children.,FAMILY HISTORY: , Significant for type II diabetes on her mother's side as well as liver and heart failure.  She has one sibling that suffers from high cholesterol and high triglycerides.,REVIEW OF SYSTEMS: , Positive for hot flashes.  She also complains about snoring and occasional slight asthma.  She does complain about peripheral ankle swelling and heartburn.  She also gives a history of hemorrhoids and bladder infections in the past.  She has weight bearing joint pain as well as low back degenerating discs.  She denies obstructive sleep apnea, kidney stones, bloody bowel movements, ulcerative colitis, Crohn's disease, dark tarry stools and melena.,PHYSICAL EXAMINATION:  ,On examination temperature is 97.7, pulse 84, blood pressure 126/80, respiratory rate was 20.  Well nourished, well developed in no distress.  Eye exam, pupils equal round and reactive to light.  Extraocular motions intact.  Neuro exam deep tendon reflexes 1+ in the lower extremities.  No focal neuro deficits noted.  Neck exam nonpalpable thyroid, midline trachea, no cervical lymphadenopathy, no carotid bruit.  Lung exam clear breath sounds throughout without rhonchi or wheezes however diminished.  Cardiac exam regular rate and rhythm without murmur or bruit.  Abdominal exam positive bowel sounds, soft, nontender, obese, nondistended abdomen.  No palpable tenderness.  No right upper quadrant tenderness.  No organomegaly appreciated.  No obvious hernias noted.  Lower extremity exam +1 edema noted.  Positive dorsalis pedis pulses.,ASSESSMENT: , The patient is a 56-year-old female who presents to the bariatric surgery service with a body mass index of 41 with obesity related comorbidities.  The patient is interested in gastric bypass surgery.  The patient appears to be an excellent candidate and would benefit greatly in the management of her comorbidities.,PLAN: , In preparation for surgery will obtain the usual baseline laboratory values including baseline vitamin levels.  Will proceed with our usual work up with an upper GI series as well as consultations with the dietician and the psychologist preoperatively.  I have recommended six weeks of Medifast for the patient to obtain a 10% preoperative weight loss.",xlm_roberta_large,GI,GI,0.14498873054981232,S4,S2,0.24392616748809814,Hinglish,487
13::v1::89ba4d9b,"Meraa bahut dard hoo raha he, Mujhe PAST MEDICAL HISTORY:, Significant for hypertension. Main 56 saal ki hun.",xlm_roberta_large,GI,GI,0.14627736806869507,S4,S2,0.24683777987957,Hinglish,18
